"n","dt","CRR","BlackScholes","AbsError","RelError","theoretical_error"
5,0.2,20.209855963387,19.9848870395809,0.224968923806077,1.12569524841705,0.224968923806077
10,0.1,27.4105151128297,26.9956291077576,0.414886005072113,1.53686362861197,0.112484461903039
20,0.05,35.969869441772,36.5629197085831,0.593050266811154,1.62199920448896,0.0562422309515194
50,0.02,53.7463961282845,53.800686319453,0.0542901911684197,0.100909848707246,0.0224968923806077
100,0.01,69.3021980361422,69.6791707952598,0.376972759117564,0.541012119999581,0.0112484461903039
200,0.005,84.9295529262613,85.1965044368775,0.266951510616195,0.313336224743799,0.00562422309515194
500,0.002,97.6341202006448,97.7151779243397,0.0810577236949257,0.0829530533707754,0.00224968923806077
1000,0.001,99.8597342944573,99.8684168763404,0.00868258188316418,0.00869402174855256,0.00112484461903039
